Name	Mana Cost	Type	Rules Text	Flavor Text	Power	Toughness	Loyalty	Name 2	Mana Cost 2	Type 2	Rules Text 2	Flavor Text 2	Power 2	Toughness 2	Loyalty 2	
The Vidalian	5	Legendary Enchantment — Landmark 	​				3	
Hostage Taker	2UB	Creature — Human Pirate 	When this creature enters, exile another target creature or artifact until this creature leaves the battlefield. You may cast that card for as long as it remains exiled, and mana of any type can be spent to cast that spell.		2	3		
Kari Zev, Skyship Raider	1R	Legendary Creature — Human Pirate 	First strike, menace\n Whenever this creature attacks, create Ragavan, a legendary 2/1 red Monkey creature token. Ragavan enters tapped and attacking. Exile that token at end of combat.		1	3		
Kitesail Freebooter	1B	Creature — Human Pirate 	Flying\n When this creature enters, target opponent reveals their hand. You choose a noncreature, nonland card from it. Exile that card until this creature leaves the battlefield.		1	2		
Laughing Jasper Flint	1BR	Legendary Creature — Lizard Rogue 	Creatures you control but don’t own are Mercenaries in addition to their other types.\n At the beginning of your upkeep, exile the top X cards of target opponent’s library, where X is the number of outlaws you control. Until end of turn, you may cast spells from among those cards, and mana of any type can be spent to cast those spells.        		4	3		
Malcolm, Keen-Eyed Navigator	2U	Legendary Creature — Siren Pirate 	Flying\n Whenever one or more Pirates you control deal damage to your opponents, you create a Treasure token for each opponent dealt damage. (It’s an artifact with “T, Sacrifice this token: Add one mana of any color.”)\n Partner (You can have two commanders if both have partner.)		2	2		
Marchesa, Dealer of Death	UBR	Legendary Creature — Human Rogue 	Whenever you commit a crime, you may pay . If you do, look at the top two cards of your library. Put one of them into your hand and the other into your graveyard. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)		3	4		
Moritte of the Frost	2GUU	Legendary Snow Creature — Shapeshifter 	Changeling (This card is every creature type.)\n You may have Moritte of the Frost enter as a copy of a permanent you control, except it’s legendary and snow in addition to its other types and, if it’s a creature, it enters with two additional +1/+1 counters on it and has changeling.		0	0		
Pirated Copy	4U	Creature — Shapeshifter Pirate 	You may have this creature enter as a copy of any creature on the battlefield, except it’s a Pirate in addition to its other types and it has “Whenever this creature or another creature with the same name deals combat damage to a player, you draw a card.”		0	0		
Port Razer	3RR	Creature — Orc Pirate 	Whenever this creature deals combat damage to a player, untap each creature you control. After this phase, there is an additional combat phase.\n This creature can’t attack a player it has already attacked this turn.		4	4		
Protean Raider	1UR	Creature — Shapeshifter Pirate 	Raid — If you attacked this turn, you may have this creature enter as a copy of any creature on the battlefield.		2	2		
The Z-Drive	3GU	Legendary Artifact	At the beginning of your upkeep, put a ripcord counter on The Z-Drive.\n 3GU, T: End the turn, this ability costs 3GU less if its your turn. If you do, draw a card for each ripcord counter on it and exile it, then, take an extra turn after this one.					
Spray and Prey (Twitch)	BG	Sorcery	Overload 3BG\n Target creature you control gains toxic 1 and “if this creature would deal combat damage to an opponent it deals that much combat damage to each opponent instead.” until end of turn.					
Merchant of the Sewers (Twitch)	3BB	Creature — Rat Citizen 	When this creature enters, proliferate.\n Whenever this creature leaves the battlefield, each opponent loses life equal to twice the number of poison counters they have, you gain life equal to the amount of life lost this way.		4	2		
Ramirez DePietro, Pillager	2UB	Legendary Creature — Human Pirate 	When Ramirez DePietro enters, you lose 2 life and create two Treasure tokens.\n Whenever one or more Pirates you control deal combat damage to a player, exile the top card of that player’s library. You may cast that card for as long as it remains exiled.		4	3		
Reckless Lackey	R	Creature — Goblin Pirate 	First strike, haste\n 2R, Sacrifice this creature: Draw a card and create a Treasure token. (It’s an artifact with “T, Sacrifice this token: Add one mana of any color.”)		1	2		
Roaming Throne	4	Artifact Creature — Golem 	Ward 2\n As this Roaming Throne enters, choose a creature type.\n Roaming Throne is the chosen type in addition to its other types.\n If a triggered ability of another creature you control of the chosen type triggers, it triggers an additional time.		4	4		
Skeleton Crew	3B	Creature — Skeleton Pirate 	Each other creature you control that’s a Skeleton or Pirate gets +1/+1.\n Whenever one or more creature cards leave your graveyard, create a 2/2 black Skeleton Pirate creature token. (This ability triggers only from the battlefield.)\n 5B: Return this creature from your graveyard to the battlefield tapped.		3	3		
Spectral Sailor	U	Creature — Spirit Pirate 	Flash (You may cast this spell any time you could cast an instant.)\n Flying\n 3U: Draw a card.		1	1		
Storm Fleet Negotiator	2U	Creature — Siren Pirate 	Flying\n Parley — Whenever this creature attacks, each player reveals the top card of their library. For each nonland card revealed this way, you create a Map token. Then each player draws a card. (It’s an artifact with “1, T, Sacrifice this token: Target creature you control explores. Activate only as a sorcery.”)		2	2		
Vial Smasher, Gleeful Grenadier	BR	Legendary Creature — Goblin Mercenary 	Whenever another outlaw you control enters, Vial Smasher deals 1 damage to target opponent. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.)		3	2		
Zara, Renegade Recruiter	3UR	Legendary Creature — Human Pirate 	Flying\n Whenever Zara attacks, look at defending player’s hand. You may put a creature card from it onto the battlefield under your control tapped and attacking that player or a planeswalker they control. Return that creature to its owner’s hand at the beginning of the next end step.		4	3		
At Knifepoint	1BR	Enchantment	During your turn, outlaws you control have first strike. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.)\n Whenever you commit a crime, create a 1/1 red Mercenary creature token with “T: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.” This ability triggers only once each turn.					
Blood Spatter Analysis	BR	Enchantment	When Blood Spatter Analysis enters, it deals 3 damage to target creature an opponent controls.\n Whenever one or more creatures die, mill a card and put a bloodstain counter on Blood Spatter Analysis. Then sacrifice it if it has five or more bloodstain counters on it. When you do, return target creature card from your graveyard to your hand.					
Call to the Kindred	3U	Enchantment — Aura 	Enchant creature\n At the beginning of your upkeep, you may look at the top five cards of your library. If you do, you may put a creature card that shares a creature type with enchanted creature from among them onto the battlefield, then you put the rest of those cards on the bottom of your library in any order.					
Curiosity	U	Enchantment — Aura 	Enchant creature\n Whenever enchanted creature deals damage to an opponent, you may draw a card.					
Double Down	3U		Whenever you cast an outlaw spell, copy that spell. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.)					
Kindred Discovery	3UU	Enchantment	As this enchantment enters, choose a creature type.\n Whenever a creature you control of the chosen type enters or attacks, draw a card.					
Caught in the Crossfire	RR	Instant	Spree (Choose one or more additional costs.)\n + 1 — This spell deals 2 damage to each outlaw creature. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.)\n + 1 — This spell deals 2 damage to each non-outlaw creature.					
Dead Before Sunrise	3R	Instant	Until end of turn, outlaw creatures you control get +1/+0 and gain “T: This creature deals damage equal to its power to target creature.” (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.)					
Fiery Cannonade	2R	Instant	This spell deals 2 damage to each non-Pirate creature.					
Secluded Courtyard		Land	As this land enters, choose a creature type.\n T: Add C.\n T: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type or activate an ability of a creature source of the chosen type.					
Unclaimed Territory		Land	As this land enters, choose a creature type.\n T: Add C.\n T: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type.					
Back in Town	X2B	Sorcery	Return X target outlaw creature cards from your graveyard to the battlefield. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.)					
March of the Drowned	B	Sorcery	Choose one —\n • Return target creature card from your graveyard to your hand.\n • Return two target Pirate cards from your graveyard to your hand.					
Orzhov Signet	2	Artifact	1, T: Add WB.					
Talisman of Hierarchy	2	Artifact	T: Add C.\n T: Add W or B. This artifact deals 1 damage to you.					
